                Time          Cycles PC       Instr    Mnemonic
                4501               3 0000000a 00800013 addi             x0, x0, 8          
              127501             126 000001f4 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              128501             127 000001f8 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              129501             128 000001fc 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              130501             129 00000200 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              131501             130 00000204 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              132501             131 00000208 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              133501             132 0000020c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              134501             133 00000210 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              135501             134 00000214 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              136501             135 00000218 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              137501             136 0000021c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              138501             137 00000220 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              139501             138 00000224 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              140501             139 00000228 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              141501             140 0000022c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              142501             141 00000230 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              143501             142 00000234 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              144501             143 00000238 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              145501             144 0000023c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              146501             145 00000240 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              147501             146 00000244 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              148501             147 00000248 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              149501             148 0000024c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              150501             149 00000250 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              151501             150 00000254 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              152501             151 00000258 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              153501             152 0000025c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              154501             153 00000260 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              155501             154 00000264 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              156501             155 00000268 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              157501             156 0000026c 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              158501             157 00000270 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              159501             158 00000274 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
              160501             159 00000278 002180b3 add              x1, x3, x2           x1=00000005  x3:00000003  x2:00000002
